"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","Emission_GES_5_usages","N°DPE","Code_postal_(BAN)","Identifiant__BAN","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score","Type_installation_chauffage","x","y","lon","lat"
374,141,48,2935.6,"2022-12-23",567,218.7,"2241N3142773W","41400","41051_0256",141,10,"maison",111,47.9,0,"A",39.075127,NA,NA,NA,NA,NA
234.5,NA,27.6,1846.2,"2022-10-28",408.7,135.3,"2241N2553216P","41400","41180_0041",64.5,17.2,"maison",129.3,65,0,"A",39.075127,NA,NA,NA,NA,NA
338,145.3,56,2969.9,"2022-02-05",573,218.6,"2241N0230243M","41400","41217_0050",145.3,0,"maison",159,47,0,"A",39.075127,NA,NA,NA,NA,NA
242.6,NA,41.7,2168,"2022-01-28",454,157.9,"2241N0178399M","41400","41080_0082",107.4,13,"maison",156.5,46,0,"A",39.075127,NA,NA,NA,NA,NA
199,93.7,43,1639,"2022-05-04",379,119.2,"2241N0962935Y","41400","41211_0042",93.7,15,"maison",104,40.2,0,"A",39.075127,NA,NA,NA,NA,NA
280,129.9,49,2244.7,"2022-03-25",466,165.7,"2241N0616369M","41400","41217_0060",129.9,0,"maison",117,39.7,0,"A",39.075127,NA,NA,NA,NA,NA
271,113.3,46,2055,"2022-10-13",438,152.1,"2241N2391214T","41400","41267_0078",113.3,12,"maison",95,41.7,0,"A",39.075127,NA,NA,NA,NA,NA
202.3,NA,43.7,1680.7,"2022-11-28",385.4,122.3,"2241N2841813M","41400","41151_0281",100.6,21.9,"maison",117.5,38,0,"A",39.075127,NA,NA,NA,NA,NA
210.7,NA,43.8,1723.2,"2022-10-04",391.4,125.7,"2241N2290474D","41400","41217_0020",101.6,21.9,"maison",115,39,0,"A",39.075127,NA,NA,NA,NA,NA
178.2,NA,34.7,1441,"2022-07-12",351.7,104.4,"2241N1590402H","41400","41217_0020",78,23.1,"maison",115.7,42,0,"A",39.075127,NA,NA,NA,NA,NA
279,156.3,66,2494.3,"2022-06-20",500,182.8,"2241N1371989U","41400","41211_0400",156.3,8,"maison",124,36.7,0,"A",39.075127,NA,NA,NA,NA,NA
344,143.3,53,2670.4,"2022-12-21",527,198.9,"2241N3117902H","41400","41211_0070",143.3,10,"maison",97,42.9,0,"A",39.075127,NA,NA,NA,NA,NA
268,165.5,60,2658,"2022-01-30",524,192.8,"2241N0182035I","41400","41211_B166",165.5,8,"maison",162,36.9,0,"A",39.075127,NA,NA,NA,NA,NA
175,99.6,44,1805,"2022-11-28",402,129,"2241N2851571U","41400","41180_0041",99.6,3,"maison",162,41.7,0,"A",39.075127,NA,NA,NA,NA,NA
280.9,NA,41.8,2377.8,"2022-12-21",483.5,152.2,"2241N3111944D","41400","41211_0031",112.6,16.7,"maison",144.1,48.6,0,"A",39.075127,NA,NA,NA,NA,NA
306,81.4,45,4187.2,"2022-05-23",525,899.1,"2241N1128702P","41400","41217_0020",81.4,3,"maison",157,56.7,0,"C",39.075127,NA,NA,NA,NA,NA
332,84.9,50,4598.7,"2022-02-02",561,999.4,"2241N0201915Y","41400","41217",84.9,6,"maison",157,58.5,0,"C",39.075127,NA,NA,NA,NA,NA
